Day,PoP
01-01,0.6207
01-02,0.4138
01-03,0.4253
01-04,0.4713
01-05,0.4598
01-06,0.4713
01-07,0.5862
01-08,0.4598
01-09,0.5057
01-10,0.5287
01-11,0.4483
01-12,0.3953
01-13,0.4535
01-14,0.5172
01-15,0.4828
01-16,0.4483
01-17,0.4598
01-18,0.5977
01-19,0.5977
01-20,0.5057
01-21,0.4713
01-22,0.5057
01-23,0.5172
01-24,0.5402
01-25,0.4368
01-26,0.5287
01-27,0.5172
01-28,0.4023
01-29,0.4713
01-30,0.4828
01-31,0.3218
02-01,0.4253
02-02,0.5632
02-03,0.5402
02-04,0.4138
02-05,0.4253
02-06,0.6092
02-07,0.5057
02-08,0.4253
02-09,0.5402
02-10,0.5057
02-11,0.4483
02-12,0.4138
02-13,0.5057
02-14,0.4598
02-15,0.4828
02-16,0.5517
02-17,0.5517
02-18,0.5057
02-19,0.4713
02-20,0.4828
02-21,0.5057
02-22,0.6092
02-23,0.4713
02-24,0.5057
02-25,0.4713
02-26,0.4483
02-27,0.4828
02-28,0.4828
03-01,0.4943
03-02,0.4598
03-03,0.5172
03-04,0.4828
03-05,0.4483
03-06,0.5747
03-07,0.4483
03-08,0.4023
03-09,0.3908
03-10,0.4253
03-11,0.4023
03-12,0.4943
03-13,0.5287
03-14,0.4713
03-15,0.4483
03-16,0.4828
03-17,0.4138
03-18,0.4138
03-19,0.4713
03-20,0.4943
03-21,0.5057
03-22,0.3448
03-23,0.4023
03-24,0.4483
03-25,0.4713
03-26,0.5057
03-27,0.4943
03-28,0.4598
03-29,0.4368
03-30,0.5632
03-31,0.5517
04-01,0.4598
04-02,0.3793
04-03,0.4598
04-04,0.4598
04-05,0.4828
04-06,0.4368
04-07,0.3563
04-08,0.4253
04-09,0.3103
04-10,0.3103
04-11,0.4943
04-12,0.4598
04-13,0.3908
04-14,0.4138
04-15,0.3908
04-16,0.2644
04-17,0.2874
04-18,0.2989
04-19,0.4368
04-20,0.2989
04-21,0.4138
04-22,0.4253
04-23,0.3333
04-24,0.4138
04-25,0.4598
04-26,0.4253
04-27,0.4598
04-28,0.4253
04-29,0.3793
04-30,0.3908
05-01,0.4483
05-02,0.3908
05-03,0.4713
05-04,0.4023
05-05,0.3103
05-06,0.3218
05-07,0.4253
05-08,0.4023
05-09,0.3908
05-10,0.4483
05-11,0.3908
05-12,0.4253
05-13,0.4138
05-14,0.4023
05-15,0.3678
05-16,0.3448
05-17,0.4023
05-18,0.4138
05-19,0.4253
05-20,0.4943
05-21,0.4483
05-22,0.4138
05-23,0.4483
05-24,0.3563
05-25,0.3678
05-26,0.4828
05-27,0.4368
05-28,0.4598
05-29,0.4713
05-30,0.3333
05-31,0.3908
06-01,0.4368
06-02,0.4253
06-03,0.4138
06-04,0.4023
06-05,0.3678
06-06,0.4713
06-07,0.4598
06-08,0.4023
06-09,0.4368
06-10,0.4767
06-11,0.4651
06-12,0.4884
06-13,0.4651
06-14,0.4651
06-15,0.4884
06-16,0.5465
06-17,0.4651
06-18,0.4884
06-19,0.407
06-20,0.3721
06-21,0.4535
06-22,0.4419
06-23,0.3837
06-24,0.4651
06-25,0.6047
06-26,0.5465
06-27,0.4884
06-28,0.5233
06-29,0.5116
06-30,0.5581
07-01,0.4884
07-02,0.4767
07-03,0.5698
07-04,0.5814
07-05,0.593
07-06,0.6163
07-07,0.4767
07-08,0.5116
07-09,0.5116
07-10,0.4302
07-11,0.4651
07-12,0.4767
07-13,0.5814
07-14,0.5581
07-15,0.5581
07-16,0.5465
07-17,0.5581
07-18,0.5465
07-19,0.593
07-20,0.4884
07-21,0.4884
07-22,0.5465
07-23,0.5814
07-24,0.5233
07-25,0.5
07-26,0.5698
07-27,0.4884
07-28,0.5233
07-29,0.4884
07-30,0.4767
07-31,0.593
08-01,0.5465
08-02,0.4419
08-03,0.4302
08-04,0.4535
08-05,0.4186
08-06,0.4651
08-07,0.5581
08-08,0.4419
08-09,0.4651
08-10,0.5116
08-11,0.4535
08-12,0.5349
08-13,0.4767
08-14,0.407
08-15,0.4767
08-16,0.5116
08-17,0.407
08-18,0.4302
08-19,0.4535
08-20,0.3953
08-21,0.4302
08-22,0.3721
08-23,0.4767
08-24,0.3837
08-25,0.3372
08-26,0.3721
08-27,0.3605
08-28,0.3488
08-29,0.4419
08-30,0.4767
08-31,0.3837
09-01,0.5
09-02,0.3721
09-03,0.407
09-04,0.5
09-05,0.3837
09-06,0.4535
09-07,0.314
09-08,0.3605
09-09,0.3256
09-10,0.3837
09-11,0.2442
09-12,0.314
09-13,0.3488
09-14,0.2907
09-15,0.314
09-16,0.3953
09-17,0.3837
09-18,0.3256
09-19,0.3372
09-20,0.3023
09-21,0.3837
09-22,0.2907
09-23,0.2326
09-24,0.3837
09-25,0.314
09-26,0.4302
09-27,0.4535
09-28,0.3837
09-29,0.3372
09-30,0.3372
10-01,0.3529
10-02,0.2326
10-03,0.2093
10-04,0.3023
10-05,0.2907
10-06,0.3023
10-07,0.3605
10-08,0.3721
10-09,0.314
10-10,0.3023
10-11,0.2674
10-12,0.2907
10-13,0.2907
10-14,0.2674
10-15,0.3023
10-16,0.2674
10-17,0.314
10-18,0.2442
10-19,0.2326
10-20,0.2442
10-21,0.2558
10-22,0.2442
10-23,0.3605
10-24,0.3256
10-25,0.2674
10-26,0.3256
10-27,0.2907
10-28,0.3488
10-29,0.2674
10-30,0.2907
10-31,0.3953
11-01,0.3605
11-02,0.3372
11-03,0.3256
11-04,0.3953
11-05,0.3837
11-06,0.3605
11-07,0.3372
11-08,0.2209
11-09,0.3721
11-10,0.4767
11-11,0.3256
11-12,0.2907
11-13,0.3372
11-14,0.3721
11-15,0.3488
11-16,0.4651
11-17,0.3605
11-18,0.3372
11-19,0.4535
11-20,0.4535
11-21,0.4186
11-22,0.3953
11-23,0.4302
11-24,0.4186
11-25,0.3953
11-26,0.4302
11-27,0.4767
11-28,0.4302
11-29,0.407
11-30,0.3488
12-01,0.2907
12-02,0.2907
12-03,0.4302
12-04,0.4186
12-05,0.4419
12-06,0.3837
12-07,0.3605
12-08,0.3837
12-09,0.5116
12-10,0.4651
12-11,0.4535
12-12,0.5
12-13,0.4767
12-14,0.4884
12-15,0.5465
12-16,0.3953
12-17,0.3605
12-18,0.407
12-19,0.4302
12-20,0.4186
12-21,0.4651
12-22,0.5
12-23,0.5116
12-24,0.4884
12-25,0.5698
12-26,0.407
12-27,0.4419
12-28,0.5233
12-29,0.5465
12-30,0.5
12-31,0.6047
02-29,0.2727
